Country,Continent,Total_Cases,Population,"Confirmed Case per 10,000 population"
Cook Islands,Oceania,7011,17571,3990.097319
Saint Kitts and Nevis,North America,6592,53871,1223.663938
Turks and Caicos,North America,6522,39741,1641.126293
Sao Tome and Principe,Africa,6280,227679,275.8269318
Palau,Oceania,5986,18233,3283.058191
St. Barth,North America,5420,9945,5449.974862
Kiribati,Oceania,5008,123419,405.7722069
Nauru,Oceania,4621,10903,4238.283041
Anguilla,North America,3904,15230,2563.361786
Macao,Asia,3488,667490,52.2554645
Saint Pierre Miquelon,North America,3452,5759,5994.096197
Wallis and Futuna,Oceania,3427,10982,3120.560918
Tuvalu,Oceania,2805,12066,2324.714073
Saint Helena,Africa,2166,6115,3542.109567
Falkland Islands,South America,1930,3539,5453.517943
Montserrat,South America,1403,4965,2825.780463
Niue,Oceania,747,1622,4605.425401
Vatican City,Europe,29,799,362.9536921
Western Sahara,Africa,10,626161,0.159703335
Tokelau,Oceania,5,1378,36.28447025
Antarctica,Antarctica,0,1000,0
Dem. Rep. Congo,Africa,97697,102262808,9.553522137
Congo,Africa,25196,6136338,41.06031969
S. Sudan,Africa,18368,11088796,16.56446741
North Korea,Asia,0,26160821,0
Somaniland,Africa,4703,18143378,2.592130308
Central African Rep.,Africa,15367,5742315,26.76098403
Eq. Guinea,Africa,17130,1714671,99.9025469
Puerto Rico,North America,1252713,3260314,3842.307827
Macedonia,Europe,348411,2085679,1670.49196
Turkmenistan,Asia,0,6516100,0
C�te d'Ivoire,Africa,88338,28873034,30.59532988
W. Sahara,Africa,10,587259,0.170282618
